planet_name,distance_ly,orbital_period_days,planet_radius_earth,planet_mass_earth,star_temp_k,equilibrium_temp_k,habitable
Proxima Centauri b,4.24,11.2,1.07,1.27,3042,234,1
TRAPPIST-1 b,40.7,1.51,1.12,1.37,2566,400,0
TRAPPIST-1 c,40.7,2.42,1.10,1.31,2566,342,0
TRAPPIST-1 d,40.7,4.05,0.79,0.39,2566,288,1
TRAPPIST-1 e,40.7,6.10,0.92,0.69,2566,251,1
TRAPPIST-1 f,40.7,9.21,1.05,1.04,2566,219,1
TRAPPIST-1 g,40.7,12.35,1.13,1.32,2566,199,1
TRAPPIST-1 h,40.7,18.77,0.76,0.33,2566,168,0
Kepler-452b,1402,384.8,1.63,5.00,5757,265,1
Kepler-22b,638,289.9,2.40,9.10,5518,262,1
Kepler-186f,582,129.9,1.11,1.44,3788,188,1
Kepler-62e,1200,122.4,1.61,4.50,4925,270,1
Kepler-62f,1200,267.3,1.41,2.80,4925,208,1
Kepler-442b,1206,112.3,1.34,2.30,4402,233,1
Kepler-1649c,300.7,19.5,1.06,1.20,3240,234,1
Kepler-296e,1740,34.1,1.53,3.60,3740,267,1
Kepler-1652b,822,38.1,1.60,4.00,3535,244,1
TOI-700d,101.4,37.4,1.19,1.72,3480,269,1
TOI-700e,101.4,27.8,0.95,0.86,3480,285,1
Gliese 667Cc,23.6,28.1,1.54,3.80,3700,277,1
Gliese 832c,16.1,35.7,1.90,5.40,3600,258,1
Gliese 581g,20.4,36.6,1.30,3.10,3498,228,1
HD 40307g,42.0,197.8,1.99,7.10,4956,227,1
Wolf 1061c,13.8,17.9,1.60,4.30,3400,223,1
LHS 1140b,48.6,24.7,1.73,6.98,3216,230,1
K2-18b,124,32.9,2.61,8.63,3457,265,1
K2-3d,137,44.6,1.51,2.70,3896,282,1
55 Cancri e,41,0.74,1.88,8.08,5196,2573,0
WASP-12b,1410,1.09,1.90,465,6300,2516,0
HD 189733b,64.5,2.22,1.15,363,5040,1200,0
HD 209458b,159,3.52,1.35,220,6065,1449,0
Kepler-10b,564,0.84,1.47,3.72,5708,2169,0
Kepler-7b,3000,4.89,1.61,140,5933,1540,0
GJ 1214b,47.5,1.58,2.68,6.55,3026,596,0
Kepler-16b,245,228.8,0.75,105,4450,200,0
CoRoT-7b,489,0.85,1.58,7.42,5259,2100,0
TrES-2b,750,2.47,1.22,373,5850,1500,0
WASP-121b,858,1.27,1.75,378,6459,2358,0
51 Pegasi b,50.9,4.23,1.90,150,5793,1284,0
Upsilon Andromedae b,44,4.62,1.30,220,6213,1638,0
HAT-P-11b,123,4.89,0.42,26,4780,878,0
